Name,Connection Strength,Log10
"VP (Ventral Pallidum) right",14.97,1.1752218003430523
"Area MFG2 (MFG) right",14.925,1.1739143398014067
"Area STS2 (STS) left",14.7,1.167317334748176
"VPL (Thalamus, ventral posterior lateral Nucleus) right",14.69,1.1670217957902564
"Area Te 2.1 (STG) right",14.025,1.1469028699281991
"Area Id6 (Insula) right",14.02,1.1467480136306398
"Area Ph2 (PhG) left",13.085,1.1167737269758997
"Area Ph1 (PhG) left",12.695,1.103632705209741
"FuCd (Ventral Striatum, Fundus of Caudate Nucleus) right",12.68,1.103119253545714
"Area Id1 (Insula) left",12.58,1.0996806411092501
"CGL (Metathalamus) left",12.52,1.0976043288744108
"Area SFG3 (SFG) right",12.08,1.082066934285113
"PUl (Thalamus, lateral pulvinar) left",12.035,1.0804460946110488
"Area p32 (pACC) right",11.375,1.05595140532915
"Area Fo5 (OFC) right",11.13,1.0464951643347082
"Area hOc5 (LOC) right",9.74,0.9885589568786155
"BST (Basal Forebrain, Bed Nucleus) right",9.125,0.9602328731285124
"Area Ph3 (PhG) left",8.96,0.9523080096621253
"Area Id7 (Insula) right",8.48,0.9283958522567138
"Area 8d1 (SFG) right",8.36,0.9222062774390164
"Frontal-II (GapMap) right",7.98,0.9020028913507294
"VIM (Thalamus, ventral intermediate Nucleus) right",7.95,0.9003671286564703
"Area hIP3 (IPS) right",7.895,0.897352134344313
"Area 44 (IFG) right",7.515,0.8759289849229269
"Area STS1 (STS) left",7.475,0.8736111969964673
"Area hOc5 (LOC) left",7.465,0.8730298120610442
"Ch 4 (Basal Forebrain) right",7.33,0.865103974641128
"Area 8v1 (MFG) right",7.31,0.8639173769578604
"Area hOc6 (POS) left",6.9,0.8388490907372553
"Area Te 3 (STG) left",6.775,0.8309092995464433
"VPL (Thalamus, ventral posterior lateral Nucleus) left",6.605,0.819872821950546
"Area 4a (PreCG) right",6.535,0.8152455919165631
"Frontal-I.2 (GapMap) right",6.35,0.8027737252919757
"Area SFS1 (SFS) right",6.23,0.7944880466591696
"FuP (Ventral Striatum, Fundus of Putamen) left",6.19,0.791690649020118
"Area Ig2 (Insula) right",6.025,0.7799570512469061
"Area 7PC (SPL) right",5.95,0.7745169657285496
"Area Te 1.0 (HESCHL) right",5.92,0.7723217067229198
"Area 6v2 (PreCG) right",5.905,0.7712199019495336
"Area 33 (ACC) right",5.69,0.7551122663950712
"Area 6v1 (PreCG) right",5.575,0.7462448717201983
"Ch 123 (Basal Forebrain) right",5.385,0.7311857076340004
"Area MFG4 (MFG) right",5.15,0.7118072290411911
"Area s24 (sACC) right",5.1,0.7075701760979364
"Area MFG5 (MFG, IFG) right",4.825,0.6834973176798114
"Area Ig1 (Insula) right",4.81,0.6821450763738317
"Area SFG4 (SFG) right",4.76,0.6776069527204931
"Area SFS2 (SFS) right",4.745,0.6762362167633115
"CA1 (Hippocampus) left",4.645,0.6669857183296606
"Area 5L (SPL) right",4.625,0.6651117370750514
"Area Fp1 (FPole) left",4.605,0.6632296345328678
"Area PFcm (IPL) right",4.545,0.6575338875579863
